service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
65101,1,1,1,1,1,0,0,20221101,20221105
65102,1,1,1,1,0,0,0,20221101,20221105
65103,0,1,1,1,1,0,0,20221101,20221105
65104,0,1,1,1,1,0,0,20221101,20221105
65105,0,0,0,0,1,0,0,20221101,20221105
65106,0,0,0,0,0,1,0,20221101,20221105
65107,0,0,0,0,0,1,0,20221101,20221105
65108,0,0,0,0,0,0,1,20221101,20221105
65109,0,0,0,0,0,0,1,20221101,20221105
65110,0,0,1,1,1,1,0,20221101,20221105
65111,0,1,1,1,1,1,0,20221101,20221105
65112,0,1,1,1,1,1,0,20221101,20221105
65113,1,0,0,0,0,0,0,20221101,20221105
65114,1,0,0,0,0,0,0,20221101,20221105
65115,1,0,0,0,0,0,0,20221101,20221105
65116,0,1,0,0,0,0,0,20221101,20221105
65117,0,1,0,0,0,0,0,20221101,20221105
65118,1,0,1,1,1,0,0,20221101,20221105
65119,1,0,1,1,1,0,0,20221101,20221105
65120,0,0,1,0,0,0,0,20221101,20221105
65121,0,0,1,0,0,0,0,20221101,20221105
65122,1,1,0,1,1,0,0,20221101,20221105
65123,1,1,0,1,1,0,0,20221101,20221105
65124,0,0,0,1,0,0,0,20221101,20221105
65125,0,0,0,1,0,0,0,20221101,20221105
65126,1,1,1,0,1,0,0,20221101,20221105
65127,1,1,1,0,1,0,0,20221101,20221105
65128,0,1,1,0,0,0,0,20221101,20221105
65129,0,1,1,0,0,0,0,20221101,20221105
65130,1,0,0,1,1,0,0,20221101,20221105
65131,1,0,0,1,1,0,0,20221101,20221105
65132,1,1,0,0,1,0,0,20221101,20221105
65133,1,1,0,0,1,0,0,20221101,20221105
65134,1,1,1,1,1,0,1,20221101,20221105
65135,1,1,1,1,1,0,1,20221101,20221105
65136,1,1,1,1,1,1,0,20221101,20221105
65137,1,1,1,1,1,1,0,20221101,20221105
65138,1,1,1,1,1,1,0,20221101,20221105
65139,1,1,1,1,1,0,0,20221101,20221105
65140,1,1,1,1,0,0,1,20221101,20221105
65141,0,1,1,0,1,0,0,20221101,20221105
65142,0,1,1,0,1,0,0,20221101,20221105
65201,1,1,1,1,1,0,0,20221106,20230131
65202,1,1,1,1,0,0,0,20221106,20230131
65203,0,1,1,1,1,0,0,20221106,20230131
65204,0,1,1,1,1,0,0,20221106,20230131
65205,0,0,0,0,1,0,0,20221106,20230131
65206,0,0,0,0,0,1,0,20221106,20230131
65207,0,0,0,0,0,1,0,20221106,20230131
65208,0,0,0,0,0,0,1,20221106,20230131
65209,0,0,0,0,0,0,1,20221106,20230131
65210,0,0,1,1,1,1,0,20221106,20230131
65211,0,1,1,1,1,1,0,20221106,20230131
65212,0,1,1,1,1,1,0,20221106,20230131
65213,1,0,0,0,0,0,0,20221106,20230131
65214,1,0,0,0,0,0,0,20221106,20230131
65215,1,0,0,0,0,0,0,20221106,20230131
65216,0,1,0,0,0,0,0,20221106,20230131
65217,0,1,0,0,0,0,0,20221106,20230131
65218,1,0,1,1,1,0,0,20221106,20230131
65219,1,0,1,1,1,0,0,20221106,20230131
65220,0,0,1,0,0,0,0,20221106,20230131
65221,0,0,1,0,0,0,0,20221106,20230131
65222,1,1,0,1,1,0,0,20221106,20230131
65223,1,1,0,1,1,0,0,20221106,20230131
65224,0,0,0,1,0,0,0,20221106,20230131
65225,0,0,0,1,0,0,0,20221106,20230131
65226,1,1,1,0,1,0,0,20221106,20230131
65227,1,1,1,0,1,0,0,20221106,20230131
65228,0,1,1,0,0,0,0,20221106,20230131
65229,0,1,1,0,0,0,0,20221106,20230131
65230,1,0,0,1,1,0,0,20221106,20230131
65231,1,0,0,1,1,0,0,20221106,20230131
65232,1,1,0,0,1,0,0,20221106,20230131
65233,1,1,0,0,1,0,0,20221106,20230131
65234,1,1,1,1,1,0,1,20221106,20230131
65235,1,1,1,1,1,0,1,20221106,20230131
65236,1,1,1,1,1,1,0,20221106,20230131
65237,1,1,1,1,1,1,0,20221106,20230131
65238,1,1,1,1,1,1,0,20221106,20230131
65239,1,1,1,1,1,0,0,20221106,20230131
65240,1,1,1,1,0,0,1,20221106,20230131
65241,0,1,1,0,1,0,0,20221106,20230131
65242,0,1,1,0,1,0,0,20221106,20230131
107001,1,1,1,1,1,0,0,20221102,20230131
107002,1,1,1,1,0,0,0,20221102,20230131
107003,0,1,1,1,1,0,0,20221102,20230131
107004,0,1,1,1,1,0,0,20221102,20230131
107005,0,0,0,0,1,0,0,20221102,20230131
107006,0,0,0,0,0,1,0,20221102,20230131
107007,0,0,0,0,0,1,0,20221102,20230131
107008,0,0,0,0,0,0,1,20221102,20230131
107009,0,0,0,0,0,0,1,20221102,20230131
107010,0,0,1,1,1,1,0,20221102,20230131
107011,0,1,1,1,1,1,0,20221102,20230131
107012,0,1,1,1,1,1,0,20221102,20230131
107013,1,0,0,0,0,0,0,20221102,20230131
107014,1,0,0,0,0,0,0,20221102,20230131
107015,1,0,0,0,0,0,0,20221102,20230131
107016,0,1,0,0,0,0,0,20221102,20230131
107017,0,1,0,0,0,0,0,20221102,20230131
107018,1,0,1,1,1,0,0,20221102,20230131
107019,1,0,1,1,1,0,0,20221102,20230131
107020,0,0,1,0,0,0,0,20221102,20230131
107021,0,0,1,0,0,0,0,20221102,20230131
107022,1,1,0,1,1,0,0,20221102,20230131
107023,1,1,0,1,1,0,0,20221102,20230131
107024,0,0,0,1,0,0,0,20221102,20230131
107025,0,0,0,1,0,0,0,20221102,20230131
107026,1,1,1,0,1,0,0,20221102,20230131
107027,1,1,1,0,1,0,0,20221102,20230131
107028,0,1,1,0,0,0,0,20221102,20230131
107029,0,1,1,0,0,0,0,20221102,20230131
107030,1,0,0,1,1,0,0,20221102,20230131
107031,1,0,0,1,1,0,0,20221102,20230131
107032,1,1,0,0,1,0,0,20221102,20230131
107033,1,1,0,0,1,0,0,20221102,20230131
107034,1,1,1,1,1,0,1,20221102,20230131
107035,1,1,1,1,1,0,1,20221102,20230131
107036,1,1,1,1,1,1,0,20221102,20230131
