service_id,date,exception_type
65201,20221124,2
65201,20221225,2
65201,20221226,2
65201,20230101,2
65201,20230102,2
65202,20221124,2
65202,20221225,2
65202,20221226,2
65202,20230101,2
65202,20230102,2
65203,20221124,2
65203,20221225,2
65203,20221226,2
65203,20230101,2
65203,20230102,2
65204,20221125,2
65204,20221226,2
65204,20221227,2
65204,20230102,2
65204,20230103,2
65205,20221124,2
65205,20221225,2
65205,20221226,2
65205,20230101,2
65205,20230102,2
65206,20221124,2
65206,20221225,2
65206,20221226,2
65206,20230101,2
65206,20230102,2
65207,20221125,2
65207,20221226,2
65207,20221227,2
65207,20230102,2
65207,20230103,2
65208,20221125,2
65208,20221226,2
65208,20221227,2
65208,20230102,2
65208,20230103,2
65209,20221124,1
65209,20221225,1
65209,20221226,1
65209,20230101,1
65209,20230102,1
65210,20221125,2
65210,20221226,2
65210,20221227,2
65210,20230102,2
65210,20230103,2
65211,20221124,2
65211,20221225,2
65211,20221226,2
65211,20230101,2
65211,20230102,2
65212,20221125,2
65212,20221226,2
65212,20221227,2
65212,20230102,2
65212,20230103,2
65213,20221124,2
65213,20221225,2
65213,20221226,2
65213,20230101,2
65213,20230102,2
65214,20221125,2
65214,20221226,2
65214,20221227,2
65214,20230102,2
65214,20230103,2
65215,20221125,1
65215,20221226,1
65215,20221227,1
65215,20230102,1
65215,20230103,1
65216,20221124,2
65216,20221225,2
65216,20221226,2
65216,20230101,2
65216,20230102,2
65217,20221125,2
65217,20221226,2
65217,20221227,2
65217,20230102,2
65217,20230103,2
65218,20221124,2
65218,20221225,2
65218,20221226,2
65218,20230101,2
65218,20230102,2
65219,20221125,2
65219,20221226,2
65219,20221227,2
65219,20230102,2
65219,20230103,2
65220,20221124,2
65220,20221225,2
65220,20221226,2
65220,20230101,2
65220,20230102,2
65221,20221125,2
65221,20221226,2
65221,20221227,2
65221,20230102,2
65221,20230103,2
65222,20221124,2
65222,20221225,2
65222,20221226,2
65222,20230101,2
65222,20230102,2
65223,20221125,2
65223,20221226,2
65223,20221227,2
65223,20230102,2
65223,20230103,2
65224,20221124,2
65224,20221225,2
65224,20221226,2
65224,20230101,2
65224,20230102,2
65225,20221125,2
65225,20221226,2
65225,20221227,2
65225,20230102,2
65225,20230103,2
65226,20221124,2
65226,20221225,2
65226,20221226,2
65226,20230101,2
65226,20230102,2
65227,20221125,2
65227,20221226,2
65227,20221227,2
65227,20230102,2
65227,20230103,2
65228,20221124,2
65228,20221225,2
65228,20221226,2
65228,20230101,2
65228,20230102,2
65229,20221125,2
65229,20221226,2
65229,20221227,2
65229,20230102,2
65229,20230103,2
65230,20221124,2
65230,20221225,2
65230,20221226,2
65230,20230101,2
65230,20230102,2
65231,20221125,2
65231,20221226,2
65231,20221227,2
65231,20230102,2
65231,20230103,2
65232,20221124,2
65232,20221225,2
65232,20221226,2
65232,20230101,2
65232,20230102,2
65233,20221125,2
65233,20221226,2
65233,20221227,2
65233,20230102,2
65233,20230103,2
65234,20221124,2
65234,20221225,2
65234,20221226,2
65234,20230101,2
65234,20230102,2
65235,20221125,2
65235,20221226,2
65235,20221227,2
65235,20230102,2
65235,20230103,2
65236,20221124,2
65236,20221225,2
65236,20221226,2
65236,20230101,2
65236,20230102,2
65237,20221125,2
65237,20221226,2
65237,20221227,2
65237,20230102,2
65237,20230103,2
65238,20221125,1
65238,20221226,1
65238,20221227,1
65238,20230102,1
65238,20230103,1
65239,20221125,1
65239,20221226,1
65239,20221227,1
65239,20230102,1
65239,20230103,1
65240,20221124,1
65240,20221225,1
65240,20221226,1
65240,20230101,1
65240,20230102,1
65241,20221124,2
65241,20221225,2
65241,20221226,2
65241,20230101,2
65241,20230102,2
65242,20221125,2
65242,20221226,2
65242,20221227,2
65242,20230102,2
65242,20230103,2
107001,20221124,2
107001,20221225,2
107001,20221226,2
107001,20230101,2
107001,20230102,2
107002,20221124,2
107002,20221225,2
107002,20221226,2
107002,20230101,2
107002,20230102,2
107003,20221124,2
107003,20221225,2
107003,20221226,2
107003,20230101,2
107003,20230102,2
107004,20221125,2
107004,20221226,2
107004,20221227,2
107004,20230102,2
107004,20230103,2
107005,20221124,2
107005,20221225,2
107005,20221226,2
107005,20230101,2
107005,20230102,2
107006,20221124,2
107006,20221225,2
107006,20221226,2
107006,20230101,2
107006,20230102,2
107007,20221125,2
107007,20221226,2
107007,20221227,2
107007,20230102,2
107007,20230103,2
107008,20221125,2
107008,20221226,2
107008,20221227,2
107008,20230102,2
107008,20230103,2
107009,20221124,1
107009,20221225,1
107009,20221226,1
107009,20230101,1
107009,20230102,1
107010,20221125,2
107010,20221226,2
107010,20221227,2
107010,20230102,2
107010,20230103,2
107011,20221124,2
107011,20221225,2
107011,20221226,2
107011,20230101,2
107011,20230102,2
107012,20221125,2
107012,20221226,2
107012,20221227,2
107012,20230102,2
107012,20230103,2
107013,20221124,2
107013,20221225,2
107013,20221226,2
107013,20230101,2
107013,20230102,2
107014,20221125,2
107014,20221226,2
107014,20221227,2
107014,20230102,2
107014,20230103,2
107015,20221125,1
107015,20221226,1
107015,20221227,1
107015,20230102,1
107015,20230103,1
107016,20221124,2
107016,20221225,2
107016,20221226,2
107016,20230101,2
107016,20230102,2
107017,20221125,2
107017,20221226,2
107017,20221227,2
107017,20230102,2
107017,20230103,2
107018,20221124,2
107018,20221225,2
107018,20221226,2
107018,20230101,2
107018,20230102,2
107019,20221125,2
107019,20221226,2
107019,20221227,2
107019,20230102,2
107019,20230103,2
107020,20221124,2
107020,20221225,2
107020,20221226,2
107020,20230101,2
107020,20230102,2
107021,20221125,2
107021,20221226,2
107021,20221227,2
107021,20230102,2
107021,20230103,2
107022,20221124,2
107022,20221225,2
107022,20221226,2
107022,20230101,2
107022,20230102,2
107023,20221125,2
107023,20221226,2
107023,20221227,2
107023,20230102,2
107023,20230103,2
107024,20221124,2
107024,20221225,2
107024,20221226,2
107024,20230101,2
107024,20230102,2
107025,20221125,2
107025,20221226,2
107025,20221227,2
107025,20230102,2
107025,20230103,2
107026,20221124,2
107026,20221225,2
107026,20221226,2
107026,20230101,2
107026,20230102,2
107027,20221125,2
107027,20221226,2
107027,20221227,2
107027,20230102,2
107027,20230103,2
107028,20221124,2
107028,20221225,2
107028,20221226,2
107028,20230101,2
107028,20230102,2
107029,20221125,2
107029,20221226,2
107029,20221227,2
107029,20230102,2
107029,20230103,2
107030,20221124,2
107030,20221225,2
107030,20221226,2
107030,20230101,2
107030,20230102,2
107031,20221125,2
107031,20221226,2
107031,20221227,2
107031,20230102,2
