trip_id,start_time,end_time,headway_secs
BLS-101-1,00:00:00,04:01:00,900
BLS-102-0,22:00:00,23:00:00,240
BLS-102-1,22:00:00,23:00:00,240
BLS-102-0,23:00:00,23:30:00,360
BLS-102-1,23:00:00,23:30:00,360
BLS-102-0,23:30:00,24:00:00,450
BLS-102-1,23:30:00,24:00:00,450
BLS-103-0,00:00:00,03:30:00,600
BLS-103-1,00:00:00,03:30:00,600
BLS-103-0,03:30:00,04:00:00,450
BLS-103-1,03:30:00,04:00:00,450
BLS-103-0,04:00:00,10:30:00,360
BLS-103-1,04:00:00,10:30:00,360
BLS-103-0,10:30:00,15:30:00,240
BLS-103-1,10:30:00,15:30:00,240
BLS-103-0,15:30:00,23:30:00,360
BLS-103-1,15:30:00,23:30:00,360
BLS-103-0,23:30:00,24:00:00,450
BLS-103-1,23:30:00,24:00:00,450
BLS-104-0,00:00:00,04:00:01,600
BLS-104-1,00:00:00,04:00:01,600
